Number of Iterations, Number Of Values, Number Of Dimensions, Number of Clusters, Total Time (ms), Time Per Iteration (ms)
31,100,6,4,23178.9131165,747.706874724
31,100,6,4,22889.5261288,738.371810605
31,100,6,4,22846.8489647,736.995127893
31,500,6,4,112431.625843,3626.8266401
31,500,6,4,112413.213015,3626.23267789
31,500,6,4,111592.583895,3599.7607708
31,1000,6,4,225163.324833,7263.33305913
31,1000,6,4,227415.72094,7335.99099805
31,1000,6,4,227127.866983,7326.70538656
31,1500,6,4,337567.685127,10889.2801654
31,1500,6,4,334823.592901,10800.7610613
31,1500,6,4,340263.48114,10976.2413271
31,2000,6,4,450384.538174,14528.5334895
31,2000,6,4,449170.461178,14489.3697154
31,2000,6,4,451964.143991,14579.4885159
31,2500,6,4,552371.44208,17818.4336155
31,2500,6,4,563531.111956,18178.4229663
31,2500,6,4,562998.219967,18161.2329022
31,3000,6,4,673524.073839,21726.5830271
31,3000,6,4,673597.39399,21728.9481932
31,3000,6,4,671942.832947,21675.5752563
31,3500,6,4,791838.320971,25543.1716442
31,3500,6,4,788143.281937,25423.9768367
31,3500,6,4,781319.338083,25203.8496156
31,4000,6,4,902476.951122,29112.1597136
31,4000,6,4,889480.577946,28692.9218692
31,4000,6,4,901053.544044,29066.2433563
31,4500,6,4,1003821.22707,32381.3299056
31,4500,6,4,1018509.341,32855.1400323
31,4500,6,4,997866.583109,32189.2446164
31,5000,6,4,1104280.03812,35621.9367135
31,5000,6,4,1111811.37896,35864.8831921
