Numer of GPUs, Average Number of Iterations, Number Of Values Per GPU, Total Number of Values, Number Of Features, Number of Clusters, 8Avg. RSME, Total Time (ms), Time Per Iteration (ms)
1,101,90,90,11,15,0.43335415565,588.556051254,5.82728763618
1,101,90,90,11,15,0.427017190325,552.885055542,5.47410946081
1,45,90,90,11,15,1.00829368887,402.84204483,8.95204544067
1,101,90,90,11,15,0.618697871279,554.936170578,5.49441753048
1,73,90,90,11,15,0.449821391715,497.869968414,6.82013655362
1,101,90,90,11,15,0.666163473272,569.273948669,5.6363757294
1,101,90,90,11,15,7.53919070343,556.702136993,5.51190234647
1,68,90,90,11,15,0.490740872729,479.331970215,7.04899956198
1,97,90,90,11,15,2.7191086639,559.526205063,5.7683113924
1,101,90,90,11,15,0.689307823235,535.943984985,5.30637608896
1,101,180,180,11,15,0.731754517063,857.874155045,8.49380351529
1,45,180,180,11,15,0.554574060254,540.470123291,12.0104471842
1,101,180,180,11,15,6.89891137768,774.883985519,7.67211866851
1,79,180,180,11,15,0.494528275113,697.697162628,8.83160965352
1,101,180,180,11,15,1.12548615217,799.362897873,7.91448413736
1,54,180,180,11,15,0.846579839402,565.081119537,10.4644651766
1,68,180,180,11,15,0.764305589513,661.72504425,9.73125065074
1,58,180,180,11,15,0.445278714188,562.104940414,9.6914644899
1,99,180,180,11,15,0.538331281404,767.45390892,7.75205968606
1,56,180,180,11,15,0.504458445143,595.633983612,10.6363211359
1,101,360,360,11,15,0.520376314399,1172.80602455,11.6119408371
1,100,360,360,11,15,0.573197693956,1129.2719841,11.292719841
1,101,360,360,11,15,0.611842007483,1107.86819458,10.9689920255
1,71,360,360,11,15,0.480621220518,983.958005905,13.8585634635
1,101,360,360,11,15,0.625476485088,1094.93803978,10.8409706909
1,101,360,360,11,15,0.60021228851,1073.75001907,10.6311883077
1,93,360,360,11,15,0.716695074251,1014.06478882,10.9039224604
1,101,360,360,11,15,0.607356877998,1210.2868557,11.9830381752
1,94,360,360,11,15,0.596192457686,1050.68707466,11.1775220709
1,101,720,720,11,15,6.12653564006,1764.44101334,17.4697130033
1,101,720,720,11,15,0.627701988427,1738.86799812,17.2165148329
1,101,720,720,11,15,0.658000155923,1792.91892052,17.7516724804
1,91,720,720,11,15,0.665846955128,1593.84512901,17.5147816375
1,101,720,720,11,15,0.63442831381,1802.58798599,17.8474058019
1,101,720,720,11,15,3.2439490152,1683.32409859,16.6665752335
1,82,720,720,11,15,1.04274460819,1434.64303017,17.4956467093
1,64,720,720,11,15,0.458265190169,1231.00209236,19.2344076931
1,101,720,720,11,15,0.51023078539,1801.35202408,17.8351685552
1,101,1440,1440,11,15,2.75535246405,3089.78414536,30.5919222312
1,73,1440,1440,11,15,0.607268693753,2496.49810791,34.1986042179
1,101,1440,1440,11,15,0.616123785576,3115.9119606,30.8506134713
1,101,1440,1440,11,15,0.648019713624,3107.75303841,30.7698320634
1,101,1440,1440,11,15,0.529275144414,3149.0240097,31.1784555416
1,101,1440,1440,11,15,0.724400406012,3071.4571476,30.4104668079
1,101,1440,1440,11,15,0.588744181668,3103.10196877,30.723781869
1,101,1440,1440,11,15,0.528860309106,3189.63909149,31.5805850643
1,101,1440,1440,11,15,3.90758577771,3152.18091011,31.2097119813
1,101,1440,1440,11,15,0.688793424537,3187.44301796,31.558841762
1,101,2880,2880,11,15,1.08613379941,5727.13303566,56.7042874818
1,101,2880,2880,11,15,0.676940054311,5738.45601082,56.8163961467
1,101,2880,2880,11,15,0.860816402576,5703.92298698,56.4744850196
1,101,2880,2880,11,15,0.486312881114,5788.42997551,57.3111878763
1,101,2880,2880,11,15,0.567964540444,5627.81190872,55.7209099873
1,101,2880,2880,11,15,0.560077868431,5754.99296188,56.9801283355
1,90,2880,2880,11,15,0.69475874557,5207.08799362,57.8565332625
1,101,2880,2880,11,15,3.3374272762,5735.43286324,56.7864639924
1,101,2880,2880,11,15,0.605813961534,5638.24486732,55.8242066072
1,101,2880,2880,11,15,0.790659503464,5622.89619446,55.6722395491
1,101,5760,5760,11,15,0.629340493226,10811.9029999,107.048544553
1,101,5760,5760,11,15,0.727272025024,10842.9248333,107.355691419
1,101,5760,5760,11,15,0.592195530292,10938.808918,108.305038792
1,101,5760,5760,11,15,0.545375860722,10877.5060177,107.698079383
1,101,5760,5760,11,15,0.484700090254,10979.0179729,108.703148247
1,101,5760,5760,11,15,0.650025701389,10823.4288692,107.162662072
1,101,5760,5760,11,15,0.580419171762,10892.6110268,107.847633928
1,101,5760,5760,11,15,0.829571635705,10850.8090973,107.433753439
1,101,5760,5760,11,15,0.538060440104,10908.5559845,108.005504797
1,101,5760,5760,11,15,0.584481255267,10855.0779819,107.476019623
2,83,90,180,11,15,4.64171217302,923.935651779,10.7824561983
2,92,90,180,11,15,2.52575308109,939.106583595,9.94114855279
2,55,90,180,11,15,0.46746782309,671.455979347,11.7493212378
2,65,90,180,11,15,3.10914641537,757.308006287,11.8037274906
2,54,90,180,11,15,3.06496609627,731.02748394,12.6832151413
2,82,90,180,11,15,0.778678012048,911.215424538,11.7745188709
2,85,90,180,11,15,0.624288801434,981.338500977,11.2745688807
2,100,90,180,11,15,0.537157073651,953.127861023,9.54839424773
2,100,90,180,11,15,0.619260093949,925.250530243,9.2401469704
2,95,90,180,11,15,2.95894015336,960.268974304,9.90139361393
2,70,180,360,11,15,0.625402012137,966.966986656,13.3583136163
2,82,180,360,11,15,0.811165249109,1102.98109055,12.987081275
2,96,180,360,11,15,0.66277271445,1179.78596687,12.1356906575
2,79,180,360,11,15,2.56133119362,1135.59043407,13.8410144927
2,97,180,360,11,15,1.44267618367,1017.54415035,10.3035461081
2,78,180,360,11,15,0.61276816983,1015.19906521,14.2603445972
2,48,180,360,11,15,0.526631073529,840.661048889,16.4413947647
2,76,180,360,11,15,4.52599503416,1064.62538242,15.3117294722
2,93,180,360,11,15,1.06275533107,1169.8539257,12.7091604676
2,88,360,720,11,15,0.648648047229,1478.29902172,16.3592075295
2,75,360,720,11,15,0.638244548133,1344.16103363,17.3416299961
2,79,360,720,11,15,2.44754092128,1348.7944603,16.6366074467
2,82,360,720,11,15,0.873398533677,1231.60839081,15.86812018
2,101,360,720,11,15,0.585015976452,1386.55507565,13.7282680757
2,101,360,720,11,15,0.595495920872,1499.15802479,14.8431487603
2,101,360,720,11,15,2.40282249254,1527.35805511,15.1223569813
2,95,360,720,11,15,1.32255668005,1402.16898918,14.5080052967
2,89,360,720,11,15,1.65168828254,1439.85795975,16.4148343074
2,101,720,1440,11,15,0.585708598013,2147.50361443,21.262412024
2,93,720,1440,11,15,0.569453510061,1987.0839119,20.9431893782
2,76,720,1440,11,15,0.613256496788,1692.86704063,21.6679706337
2,101,720,1440,11,15,1.99370386219,2210.16037464,21.8827759865
2,90,720,1440,11,15,0.504442456967,2076.16257668,23.2884106383
2,86,720,1440,11,15,2.30539379815,1940.21594524,22.9726845609
2,101,720,1440,11,15,2.03685160208,2168.32053661,21.4685201645
2,97,720,1440,11,15,0.748349010745,1981.89795017,20.5142715672
2,101,720,1440,11,15,0.544763992711,2072.41892815,20.5189992886
2,87,720,1440,11,15,0.638788771504,2040.69936275,23.7936531044
2,101,1440,2880,11,15,0.605892471523,3520.66648006,34.858083961
2,95,1440,2880,11,15,3.26529359274,3337.84246445,34.7892154299
2,101,1440,2880,11,15,1.86983782983,3561.4284277,35.261667601
2,101,1440,2880,11,15,0.583136959549,3522.25160599,34.8737782771
2,101,1440,2880,11,15,3.49902129028,3392.66860485,33.5907782658
2,79,1440,2880,11,15,1.99348811111,2951.38990879,38.5698168274
2,89,1440,2880,11,15,1.07118912599,3128.09157372,34.6642965349
2,101,1440,2880,11,15,0.536246295992,3400.14898777,33.6648414631
