Number of Iterations, Number Of Values, Number Of Dimensions, Number of Clusters, Total Time (ms), Time Per Iteration (ms), Num Threads (from user), Total Num Threads (per Block) 
31,64,2,15,7108.85095596,229.317772773,17,255
31,64,2,15,6953.93490791,224.3204809,17,255
31,64,2,15,7067.98386574,227.99947954,17,255
31,64,2,15,7030.74002266,226.798065247,17,255
31,64,2,15,6830.29794693,220.332191836,17,255
31,64,2,15,7020.66421509,226.473039196,17,255
31,64,2,15,7075.51693916,228.242481908,17,255
31,64,2,15,7047.95408249,227.3533575,17,255
31,64,2,15,7129.96101379,229.99874238,17,255
31,64,2,15,7233.56103897,233.340678676,17,255
31,128,2,15,9071.56801224,292.631226201,17,255
