Number of Iterations, Number Of Values, Number Of Dimensions, Number of Clusters, Total Time (ms), Time Per Iteration (ms), Num Threads (from user), Total Num Threads (per Block) 
31,64,2,15,7108.85095596,229.317772773,17,255
31,64,2,15,6953.93490791,224.3204809,17,255
31,64,2,15,7067.98386574,227.99947954,17,255
31,64,2,15,7030.74002266,226.798065247,17,255
31,64,2,15,6830.29794693,220.332191836,17,255
31,64,2,15,7020.66421509,226.473039196,17,255
31,64,2,15,7075.51693916,228.242481908,17,255
31,64,2,15,7047.95408249,227.3533575,17,255
31,64,2,15,7129.96101379,229.99874238,17,255
31,64,2,15,7233.56103897,233.340678676,17,255
31,128,2,15,9071.56801224,292.631226201,17,255
31,128,2,15,9170.82500458,295.833064664,17,255
31,128,2,15,8923.30002785,287.848387995,17,255
31,128,2,15,9029.92391586,291.287868254,17,255
31,128,2,15,9016.1678791,290.844125132,17,255
31,128,2,15,9081.60591125,292.955029395,17,255
31,128,2,15,9045.4249382,291.787901232,17,255
31,128,2,15,9096.58384323,293.438188491,17,255
31,128,2,15,9010.28490067,290.654351634,17,255
31,128,2,15,9048.62999916,291.891290296,17,255
31,256,2,15,12918.833971,416.73657971,17,255
31,256,2,15,12943.3140755,417.526260499,17,255
