Number of Iterations, Number Of Values, Number Of Dimensions, Number of Clusters, Total Time (ms), Time Per Iteration (ms)
31,64,2,15,7000.59986115,225.825801972
31,64,2,15,6903.96809578,222.708648251
31,64,2,15,7026.45397186,226.659805544
31,64,2,15,7139.89806175,230.319292315
31,64,2,15,7066.93792343,227.965739466
31,64,2,15,6942.882061,223.963937452
31,64,2,15,7018.91493797,226.416610902
31,64,2,15,7056.00500107,227.613064551
31,64,2,15,6896.25811577,222.459939218
31,64,2,15,6880.57589531,221.954061139
31,128,2,15,8690.77086449,280.347447242
31,128,2,15,8586.78102493,276.992936288
31,128,2,15,8593.78290176,277.218803283
31,128,2,15,8609.91001129,277.739032622
31,128,2,15,8506.23893738,274.394804432
31,128,2,15,8548.54798317,275.75961236
31,128,2,15,8481.41407967,273.59400257
31,128,2,15,8612.23006248,277.813872983
31,128,2,15,8423.46382141,271.7246394
31,128,2,15,7991.00279808,257.774283809
31,256,2,15,12773.0500698,412.03387322
31,256,2,15,12303.5359383,396.888256073
31,256,2,15,12604.7987938,406.606412703
31,256,2,15,11983.7868214,386.573768431
31,256,2,15,12678.0161858,408.968264057
31,256,2,15,12576.4009953,405.690354686
31,256,2,15,12950.8481026,417.769293631
31,256,2,15,12231.1329842,394.552676908
31,256,2,15,12211.4691734,393.918360433
31,256,2,15,12582.7600956,405.895486955
31,512,2,15,20023.2059956,645.909870825
31,512,2,15,19645.8330154,633.736548885
31,512,2,15,20579.4570446,663.853453052
31,512,2,15,20646.3530064,666.011387302
31,512,2,15,19946.8069077,643.445384118
31,512,2,15,20649.9950886,666.128873825
31,512,2,15,20547.2080708,662.813163573
31,512,2,15,19860.2170944,640.652164336
31,512,2,15,19494.1728115,628.844284242
31,512,2,15,20343.8949585,656.254676081
31,1024,2,15,33100.2819538,1067.75103077
31,1024,2,15,33800.1859188,1090.32857803
31,1024,2,15,34728.8768291,1120.28634933
31,1024,2,15,33191.644907,1070.69822281
31,1024,2,15,33135.5621815,1068.88910263
31,1024,2,15,33573.1928349,1083.00622048
31,1024,2,15,34265.8679485,1105.35057898
31,1024,2,15,35563.8501644,1147.22097305
31,1024,2,15,32933.1240654,1062.35884082
31,1024,2,15,34128.4239292,1100.91690094
31,2048,2,15,60479.462862,1950.9504149
31,2048,2,15,58787.8298759,1896.3816089
31,2048,2,15,61139.6808624,1972.24776976
31,2048,2,15,59107.7010632,1906.7000343
31,2048,2,15,62870.2058792,2028.07115739
31,2048,2,15,61492.38801,1983.62541968
31,2048,2,15,58374.0029335,1883.03235269
31,2048,2,15,59955.0018311,1934.03231713
31,2048,2,15,61305.1290512,1977.5848081
31,2048,2,15,58810.5070591,1897.11313094
31,4096,2,15,115576.077223,3728.26055557
31,4096,2,15,112146.673918,3617.63464251
31,4096,2,15,112341.244936,3623.91112697
31,4096,2,15,107792.613029,3477.18106547
31,4096,2,15,110742.903948,3572.35174025
31,4096,2,15,109531.030893,3533.25906108
31,4096,2,15,109205.431938,3522.75586897
31,4096,2,15,112662.986994,3634.28990303
31,4096,2,15,108864.976883,3511.77344784
31,4096,2,15,108465.733051,3498.89461456
31,8192,2,15,211548.728943,6824.15254654
31,8192,2,15,211203.784943,6813.02532073
31,8192,2,15,212738.11388,6862.51980259
31,8192,2,15,212371.567011,6850.69571003
31,8192,2,15,211629.366875,6826.75377015
31,8192,2,15,210237.016916,6781.83925536
31,8192,2,15,208744.958878,6733.70835089
31,8192,2,15,217859.952927,7027.74041699
31,8192,2,15,212727.561951,6862.17941776
31,8192,2,15,208339.222908,6720.62009381
31,16384,2,15,409811.826229,13219.73633
31,16384,2,15,413083.810806,13325.2842196
31,16384,2,15,408138.926983,13165.7718382
31,16384,2,15,413061.688185,13324.5705866
31,16384,2,15,418403.99909,13496.9031965
31,16384,2,15,428719.108105,13829.6486485
31,16384,2,15,408549.396992,13179.0128062
31,16384,2,15,407348.028898,13140.2589967
31,16384,2,15,416306.348801,13429.2370581
31,16384,2,15,417479.336977,13467.0753864
