Number of Iterations, Number Of Values, Number Of Dimensions, Number of Clusters, Total Time (ms), Time Per Iteration (ms), Num Threads (from user), Total Num Threads (per Block) 
31,64,2,15,7108.85095596,229.317772773,17,255
31,64,2,15,6953.93490791,224.3204809,17,255
31,64,2,15,7067.98386574,227.99947954,17,255
31,64,2,15,7030.74002266,226.798065247,17,255
31,64,2,15,6830.29794693,220.332191836,17,255
31,64,2,15,7020.66421509,226.473039196,17,255
31,64,2,15,7075.51693916,228.242481908,17,255
31,64,2,15,7047.95408249,227.3533575,17,255
31,64,2,15,7129.96101379,229.99874238,17,255
31,64,2,15,7233.56103897,233.340678676,17,255
31,128,2,15,9071.56801224,292.631226201,17,255
31,128,2,15,9170.82500458,295.833064664,17,255
31,128,2,15,8923.30002785,287.848387995,17,255
31,128,2,15,9029.92391586,291.287868254,17,255
31,128,2,15,9016.1678791,290.844125132,17,255
31,128,2,15,9081.60591125,292.955029395,17,255
31,128,2,15,9045.4249382,291.787901232,17,255
31,128,2,15,9096.58384323,293.438188491,17,255
31,128,2,15,9010.28490067,290.654351634,17,255
31,128,2,15,9048.62999916,291.891290296,17,255
31,256,2,15,12918.833971,416.73657971,17,255
31,256,2,15,12943.3140755,417.526260499,17,255
31,256,2,15,13230.1161289,426.777939643,17,255
31,256,2,15,12899.9240398,416.12658193,17,255
31,256,2,15,12913.4202003,416.561941947,17,255
31,256,2,15,12893.8958645,415.932124661,17,255
31,256,2,15,13072.7980137,421.703161732,17,255
31,256,2,15,12964.6410942,418.214228845,17,255
31,256,2,15,13123.5649586,423.340805115,17,255
31,256,2,15,12965.1319981,418.230064454,17,255
31,512,2,15,21637.567997,697.986064419,17,255
31,512,2,15,20428.5979271,658.987029906,17,255
31,512,2,15,20301.6769886,654.892806084,17,255
31,512,2,15,21577.0149231,696.032739455,17,255
31,512,2,15,20524.8441696,662.091747407,17,255
31,512,2,15,20634.8478794,665.640254175,17,255
31,512,2,15,20941.0979748,675.519289509,17,255
31,512,2,15,21346.9200134,688.610323014,17,255
31,512,2,15,20477.9868126,660.580219761,17,255
31,512,2,15,20802.175045,671.037904678,17,255
31,1024,2,15,33056.6179752,1066.34251533,17,255
31,1024,2,15,33018.132925,1065.1010621,17,255
31,1024,2,15,32974.3840694,1063.68980869,17,255
31,1024,2,15,33579.0929794,1083.19654772,17,255
31,1024,2,15,33610.1381779,1084.19800574,17,255
31,1024,2,15,32880.8119297,1060.67135257,17,255
31,1024,2,15,34747.467041,1120.88603358,17,255
31,1024,2,15,33465.3789997,1079.52835483,17,255
31,1024,2,15,33460.3800774,1079.36709927,17,255
31,1024,2,15,33979.7019958,1096.11941922,17,255
31,2048,2,15,58200.6599903,1877.44064485,17,255
31,2048,2,15,59259.2279911,1911.58799971,17,255
31,2048,2,15,64248.3410835,2072.52713173,17,255
31,2048,2,15,58999.4168282,1903.20699446,17,255
31,2048,2,15,62016.6299343,2000.53644949,17,255
31,2048,2,15,57709.446907,1861.59506152,17,255
31,2048,2,15,58247.1840382,1878.94142059,17,255
31,2048,2,15,58838.696003,1898.02245171,17,255
31,2048,2,15,59982.6490879,1934.92416413,17,255
31,2048,2,15,60797.9819775,1961.22522508,17,255
31,4096,2,15,111226.912022,3587.96490392,17,255
31,4096,2,15,109860.950947,3543.90164345,17,255
31,4096,2,15,110231.254101,3555.84690648,17,255
31,4096,2,15,110595.286846,3567.58989826,17,255
31,4096,2,15,111550.795078,3598.41274446,17,255
31,4096,2,15,110076.48015,3550.85419839,17,255
31,4096,2,15,115669.60597,3731.27761195,17,255
31,4096,2,15,108567.281961,3502.17038585,17,255
31,4096,2,15,108511.220217,3500.36194248,17,255
31,4096,2,15,114718.952894,3700.61138368,17,255
31,8192,2,15,209591.414928,6761.01338479,17,255
31,8192,2,15,208469.964027,6724.83754927,17,255
31,8192,2,15,209615.574121,6761.7927136,17,255
31,8192,2,15,209296.996117,6751.51600376,17,255
31,8192,2,15,217783.759832,7025.28257524,17,255
31,8192,2,15,207308.289051,6687.36416294,17,255
31,8192,2,15,205750.957012,6637.12764555,17,255
31,8192,2,15,206567.341089,6663.46261578,17,255
31,8192,2,15,213125.19002,6875.00612966,17,255
31,8192,2,15,210430.568933,6788.08286882,17,255
31,16384,2,15,421435.991049,13594.7093887,17,255
31,16384,2,15,402281.878948,12976.8348048,17,255
31,16384,2,15,406873.697042,13124.9579691,17,255
31,16384,2,15,410854.155064,13253.3598408,17,255
31,16384,2,15,405239.480019,13072.2412909,17,255
31,16384,2,15,404129.737139,13036.4431335,17,255
31,16384,2,15,414355.580091,13366.3090352,17,255
31,16384,2,15,407534.497023,13146.2740975,17,255
31,16384,2,15,409998.663902,13225.7633517,17,255
31,16384,2,15,409603.634119,13213.0204555,17,255
