Number of Iterations, Number Of Values, Number Of Dimensions, Number of Clusters, Total Time (ms), Time Per Iteration (ms)
30,64,2,15,18265.5217648,608.850725492
31,64,2,15,18739.8469448,604.511191768
27,64,2,15,16547.219038,612.859964371
20,128,2,15,24464.3449783,1223.21724892
21,128,2,15,24937.7858639,1187.51361257
22,128,2,15,26281.0781002,1194.5944591
25,256,2,15,59225.883007,2369.03532028
29,256,2,15,68885.6358528,2375.36675355
29,256,2,15,68613.9121056,2365.99696916
17,512,2,15,80329.4329643,4725.26076261
18,512,2,15,84164.525032,4675.80694622
16,512,2,15,74385.0159645,4649.06349778
18,1024,2,15,169302.361012,9405.68672286
24,1024,2,15,226149.433136,9422.89304733
16,1024,2,15,149174.92485,9323.43280315
31,2048,2,15,577508.741856,18629.3142534
31,2048,2,15,588956.861973,18998.6084507
31,2048,2,15,581911.437035,18771.3366785
31,4096,2,15,1153622.30897,37213.62287
31,4096,2,15,1156396.02804,37303.0976788
31,4096,2,15,1170490.40604,37757.7550334
