Number of Iterations, Number Of Values, Number Of Dimensions, Number of Clusters, Total Time (ms), Time Per Iteration (ms)
31,1000,2,4,222660.580158,7182.59935994
31,1000,2,4,221961.270094,7160.04097077
31,1000,2,4,227886.888027,7351.18993636
31,1000,4,4,229275.047064,7395.96926012
31,1000,4,4,226125.815868,7294.38115704
31,1000,4,4,226086.237192,7293.10442555
31,1000,6,4,225225.64292,7265.34331999
31,1000,6,4,222871.614933,7189.40693332
31,1000,6,4,226801.183939,7316.16722384
31,1000,8,4,228961.21788,7385.84573807
31,1000,8,4,226325.337172,7300.81732811
31,1000,8,4,223531.075001,7210.67983873
30,1000,10,4,217629.683018,7254.32276726
31,1000,10,4,223181.343079,7199.39816383
31,1000,10,4,229842.051983,7414.25974138
31,1000,12,4,227420.761824,7336.15360721
31,1000,12,4,224577.768087,7244.44413185
31,1000,12,4,223396.25597,7206.33083774
31,1000,14,4,225461.994171,7272.96755391
28,1000,14,4,206451.145887,7373.25521026
31,1000,14,4,226788.572073,7315.76038945
31,1000,16,4,225113.250017,7261.71774249
27,1000,16,4,195870.799065,7254.47403943
30,1000,16,4,216151.314974,7205.04383246
31,1000,18,4,227995.587826,7354.69638148
31,1000,18,4,226089.890003,7293.22225817
25,1000,18,4,180104.176998,7204.16707993
31,1000,20,4,230117.69104,7423.15132387
28,1000,20,4,201820.994139,7207.89264781
31,1000,20,4,226818.017006,7316.710226
31,1000,22,4,225894.673824,7286.92496207
31,1000,22,4,226031.708002,7291.34541942
31,1000,22,4,229157.923937,7392.19109474
31,1000,24,4,228667.958975,7376.38577338
30,1000,24,4,219122.047186,7304.06823953
25,1000,24,4,181540.411949,7261.61647797
31,1000,26,4,228903.908968,7383.99706348
22,1000,26,4,162003.269911,7363.78499595
31,1000,26,4,226954.077005,7321.09925824
31,1000,28,4,228259.62615,7363.21374678
31,1000,28,4,228007.926941,7355.09441745
25,1000,28,4,183617.438078,7344.69752312
