Number of Iterations, Number Of Values, Number Of Dimensions, Number of Clusters, Total Time (ms), Time Per Iteration (ms)
23,64,30,4,11065.0799274,481.090431628
22,64,30,4,10560.0018501,480.000084097
22,64,30,4,10640.5661106,483.662095937
24,128,30,4,22993.3519363,958.056330681
26,128,30,4,24511.7249489,942.75865188
25,128,30,4,23482.0711613,939.282846451
31,256,30,4,57989.0880585,1870.61574382
28,256,30,4,52837.4531269,1887.05189739
31,256,30,4,58704.944849,1893.70789836
31,512,30,4,114633.172035,3697.8442592
31,512,30,4,115191.481113,3715.85422947
31,512,30,4,115891.590834,3738.43841399
31,1024,30,4,233638.098001,7536.71283876
31,1024,30,4,230791.69488,7444.89338321
31,1024,30,4,227692.399025,7344.91609758
31,2048,30,4,464669.040918,14989.3239006
31,2048,30,4,466442.752838,15046.5404141
31,2048,30,4,463256.20079,14943.7484126
31,4096,30,4,909124.372959,29326.5926761
31,4096,30,4,929976.238012,29999.2334843
31,4096,30,4,927561.049938,29921.3241916
31,8192,30,4,1841041.73303,59388.4430009
31,8192,30,4,1833460.9592,59143.9019096
31,8192,30,4,1840867.30886,59382.8164147
No solution None inf infeasible_inaccurate
31,16384,30,4,3670330.07503,118397.744356
31,16384,30,4,3671415.22884,118432.749318
31,16384,30,4,3616059.54409,116647.082067
